Date,Price,Open,High,Low,Vol.,Change %
4/22/2019,52142,"51,528","52,296","51,451",399.66K,-0.15%
4/23/2019,51835,"52,219","52,219","50,760",1.61M,-0.59%
4/24/2019,52603,"51,835","53,141","51,835",873.47K,1.48%
4/25/2019,51989,"52,603","52,603","51,989",444.94K,-1.17%
4/26/2019,52142,"52,066","52,449","51,835",353.78K,0.29%
5/2/2019,51374,"51,912","52,142","50,990",801.88K,-1.47%
5/3/2019,51221,"51,298","51,605","50,760",1.01M,-0.30%
5/6/2019,50914,"50,837","51,298","50,606",465.18K,-0.60%
5/7/2019,50376,"50,914","51,451","49,762",1.41M,-1.06%
5/8/2019,49992,"49,608","50,376","49,608",1.21M,-0.76%
5/9/2019,50299,"50,222","50,683","49,992",841.11K,0.61%
5/10/2019,50376,"50,299","50,760","50,069",707.38K,0.15%
5/13/2019,50606,"50,530","50,760","50,376",606.64K,0.46%
5/14/2019,51144,"50,222","51,144","50,222",801.94K,1.06%
5/15/2019,51298,"51,221","51,758","51,067",936.88K,0.30%
5/16/2019,51298,"51,298","51,758","51,298",525.98K,0.00%
5/17/2019,51298,"51,298","51,451","51,144",572.98K,0.00%
5/20/2019,52066,"51,298","52,296","51,221",774.61K,1.50%
5/21/2019,51989,"52,142","52,526","51,989",603.76K,-0.15%
5/22/2019,51605,"51,835","52,680","51,451",845.61K,-0.74%
5/23/2019,51912,"51,758","52,219","51,528",482.89K,0.59%
5/24/2019,51067,"51,682","52,219","50,760",1.19M,-1.63%
5/27/2019,51758,"51,451","52,066","51,067",435.52K,1.35%
5/28/2019,51758,"51,451","52,680","51,298",847.77K,0.00%
5/29/2019,51835,"51,912","52,296","51,605",400.04K,0.15%
5/30/2019,51989,"51,835","52,296","51,682",409.47K,0.30%
5/31/2019,51605,"51,835","52,219","51,298",908.63K,-0.74%
6/3/2019,51067,"51,067","51,605","49,147",757.51K,-1.04%
6/4/2019,51605,"50,683","51,835","50,606",494.81K,1.05%
6/5/2019,51221,"51,605","51,835","51,221",343.40K,-0.74%
6/6/2019,50606,"51,221","51,221","49,915",503.45K,-1.20%
6/7/2019,50376,"51,067","51,451","50,069",626.36K,-0.45%
6/10/2019,51221,"51,298","51,835","50,683",747.05K,1.68%
6/11/2019,51758,"51,067","51,835","51,067",357.41K,1.05%
6/12/2019,51451,"51,758","51,835","51,374",271.67K,-0.59%
6/13/2019,51682,"51,451","51,835","50,990",697.92K,0.45%
