Date,Price,Open,High,Low,Vol.,Change %
5/27/2015,3544.5,"3,584.20","3,597.40","3,531.30",2.92M,-1.47%
5/28/2015,3544.5,"3,504.80","3,584.20","3,504.80",2.99M,0.00%
5/29/2015,3518.1,"3,544.50","3,571.00","3,504.80",3.95M,-0.74%
6/1/2015,3491.6,"3,518.10","3,531.30","3,491.60",3.84M,-0.75%
6/2/2015,3478.4,"3,465.20","3,504.80","3,465.20",6.70M,-0.38%
6/3/2015,3385.8,"3,451.90","3,491.60","3,385.80",10.34M,-2.66%
6/4/2015,3399,"3,385.80","3,425.50","3,385.80",7.61M,0.39%
6/5/2015,3346.1,"3,412.30","3,412.30","3,319.70",13.67M,-1.56%
6/8/2015,3438.7,"3,372.60","3,451.90","3,372.60",6.48M,2.77%
6/9/2015,3571,"3,438.70","3,676.80","3,425.50",19.70M,3.85%
6/10/2015,3742.9,"3,637.10","3,756.10","3,637.10",22.56M,4.81%
6/11/2015,3809,"3,822.30","3,861.90","3,769.30",10.21M,1.77%
6/12/2015,3782.6,"3,809.00","3,848.70","3,756.10",9.42M,-0.69%
6/15/2015,3795.8,"3,782.60","3,809.00","3,756.10",11.81M,0.35%
6/16/2015,3822.3,"3,809.00","3,901.60","3,782.60",12.75M,0.70%
6/17/2015,3756.1,"3,795.80","3,809.00","3,742.90",11.17M,-1.73%
6/18/2015,3742.9,"3,795.80","3,795.80","3,716.40",6.27M,-0.35%
6/19/2015,3637.1,"3,729.70","3,742.90","3,637.10",18.31M,-2.83%
6/22/2015,3676.8,"3,690.00","3,690.00","3,650.30",3.71M,1.09%
6/23/2015,3729.7,"3,663.50","3,769.30","3,663.50",5.66M,1.44%
6/24/2015,3690,"3,690.00","3,729.70","3,676.80",7.36M,-1.06%
6/25/2015,3623.9,"3,663.50","3,690.00","3,623.90",6.34M,-1.79%
6/26/2015,3610.6,"3,623.90","3,703.20","3,597.40",5.13M,-0.37%
6/29/2015,3703.2,"3,610.60","3,703.20","3,610.60",7.49M,2.56%
6/30/2015,3822.3,"3,690.00","3,822.30","3,676.80",24.21M,3.22%
7/1/2015,3729.7,"3,822.30","3,835.50","3,703.20",7.62M,-2.42%
7/2/2015,3782.6,"3,729.70","3,795.80","3,703.20",6.53M,1.42%
7/3/2015,3795.8,"3,795.80","3,835.50","3,782.60",7.58M,0.35%
7/6/2015,3888.4,"3,795.80","3,901.60","3,795.80",13.17M,2.44%
7/7/2015,3981,"3,888.40","4,060.30","3,835.50",20.18M,2.38%
7/8/2015,3941.3,"3,981.00","4,033.90","3,914.80",12.38M,-1.00%
7/9/2015,3861.9,"3,914.80","3,928.10","3,848.70",12.78M,-2.01%
7/10/2015,3822.3,"3,901.60","3,901.60","3,822.30",9.52M,-1.03%
7/13/2015,3795.8,"3,835.50","3,888.40","3,782.60",8.26M,-0.69%
7/14/2015,3861.9,"3,795.80","3,928.10","3,729.70",16.21M,1.74%
7/15/2015,3782.6,"3,875.20","3,888.40","3,782.60",6.58M,-2.05%
7/16/2015,3914.8,"3,769.30","3,928.10","3,742.90",11.17M,3.49%
7/17/2015,3994.2,"4,007.40","4,086.80","3,981.00",18.89M,2.03%
7/20/2015,4033.9,"3,981.00","4,033.90","3,914.80",9.82M,0.99%
7/21/2015,4152.9,"4,033.90","4,152.90","4,033.90",19.04M,2.95%
7/22/2015,4430.6,"4,166.10","4,430.60","4,166.10",36.06M,6.69%
7/23/2015,4377.7,"4,470.30","4,510.00","4,364.50",11.30M,-1.19%
7/24/2015,4576.1,"4,377.70","4,615.80","4,377.70",23.33M,4.53%
7/27/2015,4708.4,"4,629.00","4,748.10","4,629.00",17.06M,2.89%
7/28/2015,4536.4,"4,708.40","4,748.10","4,536.40",14.19M,-3.65%
7/29/2015,4417.4,"4,496.80","4,576.10","4,417.40",21.71M,-2.62%
7/30/2015,4443.9,"4,404.20","4,510.00","4,391.00",9.63M,0.60%
7/31/2015,4298.4,"4,430.60","4,457.10","4,298.40",16.18M,-3.27%
8/3/2015,4298.4,"4,232.20","4,351.30","4,166.10",20.17M,0.00%
8/4/2015,4311.6,"4,298.40","4,404.20","4,271.90",7.04M,0.31%
